Name,Original Price,Discounted Price,Discount Percent,Premium,quantity,Rating,Review Count,Delivery Time,Category,selling price
Pepsi Soft Drink,40,4,90,No,300 ml,4.6,300,8 mins,cool drink,36
Mirinda Orange Soft Drink,40,9,77.5,No,300 ml,4.6,300,8 mins,cool drink,31
7 Up Soft Drink Can,40,2,95,No,300 ml,4.5,300,8 mins,cool drink,38
Pepsi Black Cola Diet Soft Drink,40,9,77.5,No,300 ml,4.5,300,8 mins,cool drink,31
Frooti Mango Drink,122,42,65.57,No,300 ml,4.6,122,8 mins,cool drink,80
Red Bull Energy Drink,125,15,88,No,250 ml,4.7,250,8 mins,cool drink,110
Coca,160,29,81.88,No,250 ml,4.7,250,8 mins,cool drink,131
Monster Energy Ultra Zero Sugar,125,41,67.2,No,350 ml,4.7,350,8 mins,cool drink,84
Coca,160,8,95,No,250 ml,4.7,250,8 mins,cool drink,152
Red Bull Energy Drink,165,30,81.82,No,350 ml,4.6,350,8 mins,cool drink,135
Pepsi Cola Soft Drink,240,79,67.08,No,300 ml,4.7,300,8 mins,cool drink,161
Gatorade Blue Bolt Zero Sugar Energy Drink,50,3,94,No,500 ml,4.7,500,8 mins,cool drink,47
Gatorade Lemon Zero Sugar Energy Drink,50,3,94,No,500 ml,4.6,500,8 mins,cool drink,47
Fast,60,12,80,No,500 ml,4.7,500,8 mins,cool drink,48
Gatorade Orange Zero Sugar Energy Drink,50,3,94,No,500 ml,4.7,500,8 mins,cool drink,47
Red Bull Watermelon Energy Drink,125,27,78.4,No,250 ml,4.6,250,8 mins,cool drink,98
Red Bull Energy Drink,480,104,78.33,No,250 ml,4.5,480,8 mins,cool drink,376
O'cean Energy Drink Can,70,4,94.29,No,250 ml,4.6,250,8 mins,cool drink,66
Jimmy's Cocktails Imported Hustle Energy Drink,60,7,88.33,No,250 ml,4.1,250,8 mins,cool drink,53
Coca,240,15,93.75,No,330 ml,3.2,88,8 mins,cool drink,225
Coca,199,40,79.9,No,320 ml,4.5,157,8 mins,cool drink,159
Pepsi Zero Lemon,220,11,95,No,320 ml,4.4,823,8 mins,cool drink,209
Fanta Orange Zero,240,30,87.5,No,330 g,4.4,297,8 mins,cool drink,210
Prime Hydration Imported Lemon and Lime Soft Drink,599,246,58.93,No,500 ml,4.1,153,8 mins,cool drink,353
Red Bull Energy Drink,700,152,78.29,No,250 ml,4.5,700,8 mins,cool drink,548
Prime Hydration Tropical Energy Drink,599,65,89.15,No,500 ml,3.1,109,8 mins,cool drink,534
Monster Pacific Punch Energy Drink Can,370,29,92.16,No,500 ml,4.4,64,8 mins,cool drink,341
Fast,295,86,70.85,No,500 ml,4.9,301,22 mins,cool drink,209
Fast,1180,440,62.71,No,500 ml,4.2,343,22 mins,cool drink,740
Prime Hydration Ice Red Chill Flavored Drink,399,20,94.99,No,500 ml,4.4,685,8 mins,cool drink,379
Liquid I.V. Hydration Multiplier,360,78,78.33,No,500 ml,,64,22 mins,cool drink,282
