product_name,original_price,discounted_price,discount_percent,premium,quantity,rating,review_count,delivery_time,category,selling_price
Cadbury Dairy Milk Silk Roast Almond Chocolate Bar Combo,428,56,86,No,100 g,4.6,494,5,chocolate,372
Didier,149,15,89,No,40 g,4.4,201,5,chocolate,134
Didier,159,21,86,No,100 g,4.2,220,5,chocolate,138
Ferrero Rocher Moments Chocolate Pack Combo,1076,288,73,No,100 g,4.7,524,5,chocolate,788
Cadbury Dairy Milk Silk Bubbly Chocolate 50 gms,196,18,90,No,100 g,4.6,116,5,chocolate,178
Galaxy Smooth Milk Chocolate Bar Loaded with the Goodness of Milk,260,110,57,No,100 g,4.6,986,5,chocolate,150
Galaxy Smooth Milk Chocolate Bar Loaded with the Goodness of Milk,149,15,89,No,40 g,4.6,271,5,chocolate,134
Hershey's Dark Chocolate Bar Combo,225,81,64,No,75 g,4.3,99,5,chocolate,144
Galaxy Smooth Milk Chocolate Bar Loaded with the Goodness of Milk,284,58,79,No,75 g,4.6,737,5,chocolate,226
Nova Nova Choco Pockets,294,72,75,No,100 g,4.3,914,5,chocolate,222
Galaxy Smooth Milk Chocolate Bar Loaded with the Goodness of Milk,285,66,76,No,78 g,4.3,786,5,chocolate,219
Nova Nova Choco Pockets,149,19,87,No,40 g,4.7,117,5,chocolate,130
Cadbury Studio Chocolat A L'Orange Signature Pralines Chocolate Gift Pack,500,164,67,No,100 g,4.4,85,5,chocolate,336
Cadbury Dairy Milk Silk Mousse Chocolate Bar Combo,480,110,77,No,100 g,4.3,382,5,chocolate,370
Cadbury Dairy Milk Silk Mousse Chocolate Bar Combo,120,13,89,No,40 g,4.9,134,5,chocolate,107
Didier,149,14,90,No,40 g,4.1,116,5,chocolate,135
Galaxy Smooth Milk Chocolate Bar Loaded with the Goodness of Milk,398,102,74,No,100 g,4.5,626,5,chocolate,296
Luvit Dark Compound Chocolate Combo,650,168,74,No,100 g,4.3,187,5,chocolate,482
Hershey'S Dark Chocolate Bar Combo,340,96,71,No,100 g,4.4,540,5,chocolate,244
Hershey'S Dark Chocolate Bar Combo,349,130,62,No,80 g,4.6,231,5,chocolate,219
Lindt Swiss Classic Milk Chocolate Combo,1098,380,65,No,100 g,4.2,460,5,chocolate,718
Lindt Swiss Classic Milk Chocolate Combo,899,234,73,No,75 g,4.2,195,5,chocolate,665
Lindt Swiss Classic Milk Chocolate Combo,929,334,64,No,80 ml,4.2,117,5,chocolate,595
Didier,599,158,73,No,75 g,4.2,126,5,chocolate,441
Didier,509,115,77,No,75 g,4.3,77,5,chocolate,394
Snickers Peanut Filled Chocolate Bar Loaded with Delicious Roasted Peanuts Combo,180,24,86,No,100 g,4.3,102,5,chocolate,156
Britannia Good Day Chunkies Chocochip Cookies,45,13,71,No,75 g,4.7,75,5,cookies,32
Parle Hide,30,9,70,No,100 g,4.7,314,5,cookies,21
Britannia Pure Magic Choco Frames,55,9,83,No,50 g,4.6,411,5,cookies,46
Britannia Pure Magic Choco Frames,70,7,90,No,100 g,4.5,100,5,cookies,63
Parle Hide,35,7,80,No,60 g,4.7,60,5,cookies,28
UNIBIC Choco Chip Cookies,27,8,70,No,5 g,4.7,67,5,cookies,19
Nutrisum Oats Cookies,85,40,52,No,70 g,4.5,968,5,cookies,45
Britannia Little Hearts Classic Crunch Biscuits,25,7,72,No,70 g,4.7,164,5,cookies,18
UNIBIC Assorted Cookies,340,152,55,No,5 g,4.7,340,5,cookies,188
Parle Hide,53,13,75,No,200 g,4.7,200,5,cookies,40
"Sunfeast Dark Fantasy Choco Fills, Original Filled Cookies with Choco Crème",35,3,91,No,69 g,4.7,237,5,cookies,32
Let'S Try Ragi Kaju Pista Cookies,220,95,56,No,200 g,4.2,220,5,cookies,125
Let's try Ragi Kaju Pista Millet Cookies,440,206,53,No,200 g,4.3,393,5,cookies,234
UNIBIC Choco Nut Cookies,27,2,92,No,5 g,4.6,67,5,cookies,25
Cadbury Chocobakes ChocoChip Cookies,40,10,75,No,83 g,4.6,83,5,cookies,30
Cadbury Chocobakes ChocoChip Cookies,60,23,61,No,5 g,4.6,67,5,cookies,37
"Ritebite Max Protein Cookie Choco Almond, Sugar Free Premium Biscuit Cookies",53,5,90,No,60 g,4.5,60,5,cookies,48
Britannia Good Day Chunkies Coconut Cookies,45,12,73,No,100 g,4.7,100,5,cookies,33
Parle Hide,30,9,70,No,100 g,4.6,100,5,cookies,21
"Ritebite Max Protein Cookie Choco Chips, No Maida Multigrain Premium Biscuit Cookies",44,5,88,No,55 g,4.7,55,5,cookies,39
Britannia NutriChoice Chocolate and Almond Oats Biscuits,25,9,64,No,75 g,4.6,75,21,cookies,16
Cadbury Chocobakes ChocoChip Cookies,80,26,67,No,167 g,4.8,167,21,cookies,54
UNIBIC Cashew Badam Cookies,122,44,63,No,270 g,4.6,270,5,cookies,78
Sunfeast Baked Creations Rich Choco Chip Cookies,170,54,68,No,20 g,4.6,805,5,cookies,116
Britannia Good Day Chunky Chocolate Flavoured Biscuits,90,26,71,No,20 g,4.2,630,5,cookies,64
Parle Milano Choco,40,12,70,No,60 g,4.7,60,5,cookies,28
Britannia Nutrichoice Almond and Oats Milk Biscuits,22,7,68,No,75 g,4.7,75,5,cookies,15
The Baker's Dozen Zero Maida Coconut and Oats Biscuits Cookies,89,31,65,No,80 g,4.4,89,5,cookies,58
The Baker's Dozen High Protein Peanut Butter Cookies Biscuits,105,35,66,No,75 g,4.1,298,5,cookies,70
The Baker's Dozen Dark Chocolate Flavoured Biscuits Cookies,119,11,90,No,100 g,4.2,119,5,cookies,108
Sunfeast Farmlite Oats,75,20,73,No,150 g,4.7,150,5,cookies,55
Britannia Good Day ChocoChip Cookies,135,56,58,No,100 g,4.7,135,5,cookies,79
UNIBIC Danish Coconut Cookies,165,60,63,No,270 g,4.6,270,5,cookies,105
Sunfeast Farmlite Oats,75,30,60,No,150 g,4.7,150,5,cookies,45
Open Secret Zero Maida Assorted Chocolate Cookies,105,29,72,No,50 g,4.6,105,5,cookies,76
Open Secret Zero Maida Assorted Chocolate Cookies,80,23,71,No,85 g,4.6,153,5,cookies,57
Parle Platina Milano Dark Choco Biscuits,170,69,59,No,200 g,4.7,200,5,cookies,101
Dukes Nice Biscuits,32,12,62,No,145 g,4.7,145,5,cookies,20
Karachi Bakery Fruit Biscuit,187,58,68,No,400 g,4.3,400,5,cookies,129
Cadbury Bournvita Biscuit,35,8,77,No,6 g,4.7,111,5,cookies,27
Parle Happy Happy choco chip cookies,133,57,57,No,396 g,4.7,396,5,cookies,76
Parle Hide,125,57,54,No,308 g,4.7,308,5,cookies,68
Karachi Bakery Osmania Biscuits,169,26,84,No,400 g,4.2,400,5,cookies,143
Britannia Good Day Fruit and Nut Cookies,200,65,67,No,450 g,4.7,450,5,cookies,135
CookieMan Choco Chunk Cookies,145,34,76,No,120 g,4.1,606,21,cookies,111
Unifit Oats Coconut Cookies,85,24,71,No,75 g,4.5,438,21,cookies,61
Karachi Bakery Cashew Biscuits,210,63,70,No,400 g,3.9,400,5,cookies,147
Britannia Tiger Krunch Biscuits,150,60,60,No,400 g,4.7,400,5,cookies,90
Britannia Good Day Pista Badam Cookies,55,12,78,No,200 g,4.5,200,5,cookies,43
Britannia Good Day Cashew Cookies,50,11,78,No,200 g,4.6,200,5,cookies,39
Britannia Nutrichoice Oats Cookies Diabetic Friendly,65,15,76,No,150 g,4.7,150,5,cookies,50
CookieMan Hand Pound Chocolate Cookies,99,18,81,No,100 g,4.5,449,5,cookies,81
Sunfeast Baked Creations Oats,130,39,70,No,120 g,4.5,589,5,cookies,91
The Baker's Dozen Nankhatai Premium Butter Flavoured Pure Ghee Biscuits Cookies,139,25,82,No,105 g,3.2,784,21,cookies,114
UNIBIC Choco Chip My Favourite Pack,165,72,56,No,105 g,4.6,165,5,cookies,93
UNIBIC Choco Chip My Favourite Pack,70,18,74,No,85 g,4.5,153,5,cookies,52
Britannia Good Day Cashew Cookies,320,135,57,No,905 g,4.6,905,5,cookies,185
Mcvitie's Tasties Cashew Almond Biscuits,171,83,51,No,560 g,4.6,560,5,cookies,88
Britannia Good Day Cashew Cookies,135,52,61,No,565 g,4.6,565,5,cookies,83
Mom's Magic Rich Cashew Almond Cookies,160,78,51,No,560 g,4.6,560,5,cookies,82
Karachi Bakery Double Delightt Fruit,210,10,95,No,400 g,4.4,428,5,cookies,200
Let'S Try Oats Choco Chip Cookies,220,95,56,No,200 g,3.9,615,21,cookies,125
Cafe Niloufer Osmania Biscuits,230,36,84,No,400 g,4.7,997,5,cookies,194
Parle Hide,150,52,65,No,5 g,4.6,412,5,cookies,98
Parle 20,89,44,50,No,300 g,4.7,300,5,cookies,45
Karachi Bakery Pista Biscuits,210,24,88,No,400 g,4.4,471,5,cookies,186
Karachi Bakery 2in1,210,10,95,No,400 g,3.5,432,5,cookies,200
Let'S Try Oats Coconut Cookies,220,97,55,No,200 g,4.7,907,21,cookies,123
Bonn Jeera Bite Biscuits Sweet Salty Family Pack Biscuit For Tea Time,100,18,82,No,200 g,4.7,979,21,cookies,82
Mcvitie's Tasties Coconut Biscuits,180,45,75,No,66 g,4.1,180,5,cookies,135
Parle 20,190,94,50,No,600 g,4.7,600,5,cookies,96
"Kikibix Cranberry Walnut Healthy Biscuits, Jaggery Oats Cookies, Digestive, No Maida, No Palm Oil",200,54,73,No,130 g,4.5,211,21,cookies,146
Open Secret Zero Maida Assorted Chocolate Cookies,200,48,76,No,130 g,4.3,236,21,cookies,152
McVitie's Tasties Butter Jeera Cookies,160,79,50,No,58 g,4.7,583,5,cookies,81
CookieMan Almond Biscotti,269,89,66,No,250 g,2.2,194,5,cookies,180
Cookie Man Premium Assorted Cookies,599,150,74,No,55 g,4.7,738,5,cookies,449
Parle Hide,71,13,81,No,55 g,4.2,183,5,cookies,58
Britannia Little Hearts Classic Crunch Flavoured Biscuits,50,14,72,No,55 g,4.6,246,5,cookies,36
UNIBIC Choco Nut Flavoured Biscuits,54,4,92,No,55 g,4.7,776,5,cookies,50
Oreo Chocobakes Choc Filled Cookies Chocolate Centre Fills,60,10,83,No,55 g,4.6,740,5,cookies,50
UNIBIC Choco Chip Flavoured Biscuits,81,24,70,No,55 g,4.3,618,5,cookies,57
Parle Hide and Seek Milano Choco Chip Flavoured Biscuits,150,70,53,No,55 g,4.6,267,5,cookies,80
"Open Secret Zero Maida Chocolate Millet Biscuit, Healthy Snacks with No Refined Sugar",45,13,71,No,40 g,4.5,45,5,cookies,32
Sunfeast Mom's Magic Rich Butter Cookies,25,5,80,No,147 g,4.5,147,21,cookies,20
Parle Hide,120,36,70,No,5 g,4.4,957,5,cookies,84
Parle Hide,106,27,74,No,75 g,4.6,670,5,cookies,79
Parle Hide,60,18,70,No,56 g,4.2,821,5,cookies,42
Cadbury Oreo Choco Chip Flavoured Biscuits,80,20,75,No,56 g,4.7,985,5,cookies,60
Britannia Good Day Chunkies Coconut Flavoured Biscuits,90,24,73,No,56 g,4.6,432,5,cookies,66
Cafe Niloufer Osmania Butter Flavoured Biscuits,240,14,94,No,100 g,4.6,943,5,cookies,226
Parle Hide,90,27,70,No,56 g,4.5,253,5,cookies,63
Parle Hide,90,27,70,No,56 g,4.7,62,5,cookies,63
Britannia Little Hearts Classic Crunch Flavoured Biscuits,100,28,72,No,56 g,4.6,460,5,cookies,72
UNIBIC Choco Nut Flavoured Biscuits,108,8,92,No,56 g,4.7,72,5,cookies,100
UNIBIC Choco Nut Flavoured Biscuits,81,6,92,No,56 g,4.4,712,5,cookies,75
Britannia Good Day Pista and Badam Dry Fruit Biscuits,45,7,84,No,56 g,4.7,496,5,cookies,38
Britannia Good Day Cashew Dry Fruit Biscuits,100,28,72,No,56 g,4.5,449,5,cookies,72
Dukes Creme 4 Fun Chocolate Flavoured Sandwich Cream Biscuits,80,36,55,No,45 g,4.2,998,5,cookies,44
Open Secret Zero Maida Butter Millet Biscuit,45,13,71,No,40 g,4.4,45,5,cookies,32
Lo Foods Gluten Free Sugar Free Biscuit,99,14,85,No,75 g,4.7,245,21,cookies,85
Sunfeast Nice Biscuit Coconut Flavoured Biscuits,44,10,77,No,75 g,4.2,868,5,cookies,34
Britannia Nice Time Coconut Flavoured Biscuits,67,11,83,No,75 g,4.2,120,5,cookies,56
Sugar Free D'Lite Choco Chip Cookies,65,19,70,No,75 g,4.6,75,5,cookies,46
Parle Hide,106,20,81,No,75 g,4.4,973,5,cookies,86
Dukes Creme 4 Fun Orange Flavoured Sandwich Cream Biscuits,72,32,55,No,75 g,4.4,790,5,cookies,40
Britannia Good Day Pista and Badam Dry Fruit Biscuits,90,14,84,No,75 g,4.2,424,5,cookies,76
Sunfeast Nice Biscuit Coconut Flavoured Biscuits,66,18,72,No,75 g,4.3,465,5,cookies,48
Britannia Good Day Cashew Dry Fruit Biscuits,75,21,72,No,75 g,4.6,966,5,cookies,54
Britannia Nutrichoice Almond and Oats Milk Biscuits,67,20,70,No,75 g,4.6,162,5,cookies,47
Britannia Nice Time Coconut Flavoured Biscuits,45,7,84,No,75 g,4.6,446,5,cookies,38
Parle Hide,160,40,75,No,75 g,4.2,144,5,cookies,120
Dukes Nice Coconut Flavoured Biscuits,128,48,62,No,75 g,4.2,84,5,cookies,80
Parle Hide and Seek Milano Choco Chip Flavoured Biscuits,225,105,53,No,75 g,4.2,136,5,cookies,120
Britannia Good Day Cashew Dry Fruit Biscuits,50,14,72,No,75 g,4.3,434,5,cookies,36
Britannia Good Day Chunky Chocolate Flavoured Biscuits,135,39,71,No,75 g,4.4,473,5,cookies,96
UNIBIC Choco Chip Flavoured Biscuits,330,144,56,No,75 g,4.6,209,5,cookies,186
UNIBIC Sugar Free Oatmeal Cookies,60,24,60,No,5 g,4.6,67,5,cookies,36
Britannia Nutrichoice Almond and Oats Milk Biscuits,45,13,71,No,5 g,4.2,895,5,cookies,32
Parle Hide,213,54,74,No,5 g,4.2,595,5,cookies,159
Karachi Bakery Fruit Flavoured Biscuits,374,116,68,No,56 g,4.3,551,5,cookies,258
Slurrp Farm No Maida Banana Oat Cookies Combo,198,98,50,No,56 g,4.3,313,5,cookies,100
Britannia Good Day Cashew Dry Fruit Biscuits,150,33,78,No,56 g,4.5,815,5,cookies,117
Britannia Good Day Cashew Dry Fruit Biscuits,100,22,78,No,56 g,4.3,628,5,cookies,78
UNIBIC Sugar Free Multigrain Cookies,60,15,75,No,5 g,4.6,67,5,cookies,45
Britannia Nice Time Coconut Flavoured Biscuits,135,21,84,No,56 g,4.3,573,5,cookies,114
Britannia Good Day Butter Cookies,125,38,69,No,565 g,4.5,565,5,cookies,87
Cafe Niloufer Osmania Butter Flavoured Biscuits,460,72,84,No,65 g,4.2,793,5,cookies,388
Parle Hide,142,26,81,No,65 g,4.2,856,5,cookies,116
Open Secret Zero Maida Chocolate Almond Flavoured Biscuits,210,58,72,No,65 g,4.3,415,5,cookies,152
UNIBIC Assorted Cookies,200,82,59,No,5 g,4.6,200,5,cookies,118
"Open Secret Zero Maida Chocolate Millet Biscuit, Healthy Snacks With No Refined Sugar",150,42,72,No,40 g,4.2,149,5,cookies,108
The Baker's Dozen Dark Chocolate Flavoured Biscuits,238,22,90,No,76 g,4.6,768,5,cookies,216
Britannia Good Day Butter Biscuits,250,76,69,No,76 g,4.7,185,5,cookies,174
Open Secret Zero Maida Chocolate Almond Cookies,210,58,72,No,75 g,4.6,357,5,cookies,152
Parle Happy Happy Choco Chip Flavoured Biscuits,400,171,57,No,65 g,4.6,67,5,cookies,229
Sugar Free D'Lite Yummy Berry Cookies,65,19,70,No,75 g,4.5,75,5,cookies,46
Nova Nova Mini Waffle Cookies,120,30,75,No,43 g,4.5,120,5,cookies,90
Britannia Good Day Butter Jeera Cookies,200,71,64,No,450 g,4.7,450,5,cookies,129
CookieMan Danish Butter Cookies,549,111,79,No,330 g,3.4,237,21,cookies,438
Cadbury Oreo Choco Chip Flavoured Biscuits,120,30,75,No,100 g,4.6,801,5,cookies,90
UNIBIC Cookie Magic Gift Pack,379,142,62,No,100 g,4.7,203,5,cookies,237
Open Secret Gift Box Dryfruit Chocolate Nutty Cookies With Almonds Cashew,350,78,77,No,100 g,2.1,80,5,cookies,272
Britannia Good Day Choco Chip Chocolate Flavoured Biscuits,270,112,58,No,100 g,4.2,179,5,cookies,158
The Baker's Dozen Handcrafted Cookies Gift Box,349,74,78,No,166 g,4.8,154,21,cookies,275
Britannia Good Day Cashew Cookies,45,11,75,No,76 g,4.2,612,5,cookies,34
Dukes Nice Coconut Flavoured Biscuits,64,24,62,No,76 g,4.7,504,5,cookies,40
Britannia Good Day Pista and Badam Dry Fruit Biscuits,67,11,83,No,76 g,4.5,584,5,cookies,56
Britannia Nutrichoice Almond and Oats Milk Biscuits,90,26,71,No,76 g,4.4,722,5,cookies,64
CookieMan Sugar Free Multigrain Cookies,369,77,79,No,200 g,4.8,208,5,cookies,292
Britannia Good Day Oats Cookies Fruits and Nuts Dry Fruit Biscuits,400,130,67,No,200 g,4.5,391,5,cookies,270
Britannia Tiger Krunch Choco Chip Flavoured Biscuits,300,120,60,No,200 g,4.4,215,5,cookies,180
"Open Secret Zero Maida Chocolate Millet Biscuit, Healthy Snacks With No Refined Sugar",150,42,72,No,40 g,4.5,721,5,cookies,108
CookieMan Sugar Free Multigrain Protein Cookies,169,30,82,No,150 g,4.5,355,5,cookies,139
Britannia Good Day Chunkies Chocochip Cookies Combo,180,52,71,No,87 g,4.5,898,5,cookies,128
Parle Hide,250,114,54,No,87 g,4.4,368,5,cookies,136
Open Secret Premium Choco Almond Flavoured Biscuits,210,58,72,No,87 g,4.2,665,5,cookies,152
Open Secret Zero Maida Jeera Millet Cookies,90,26,71,No,87 g,4.5,888,5,cookies,64
Britannia Good Day Butter Biscuits,375,114,69,No,87 g,4.5,989,5,cookies,261
Karachi Bakery Fruit Flavoured Biscuits,561,174,68,No,87 g,4.4,278,5,cookies,387
Parle Happy Happy Choco Chip Flavoured Biscuits,267,114,57,No,87 g,4.3,873,5,cookies,153
Parle Hide,300,104,65,No,87 g,4.3,632,5,cookies,196
Britannia Nutrichoice Black Bourbon Oats Biscuits,130,30,76,No,87 g,4.3,764,5,cookies,100
UNIBIC Multigrain Cookies Butter Sugar Free Biscuits,120,46,61,No,87 g,4.3,696,5,cookies,74
Britannia Nutrichoice Black Bourbon Oats Biscuits,195,45,76,No,87 g,4.5,712,5,cookies,150
Parle Hide,500,236,52,No,87 g,4.4,938,5,cookies,264
McVitie's Tasties Cashew and Almond Dry Fruit Biscuits,342,166,51,No,87 g,4.5,213,5,cookies,176
Parle 20,380,188,50,No,87 g,4.2,673,5,cookies,192
Thums Up Soft Drink,75,9,80,No,750 ml,4.7,750,8,cool drink,66
Campa Cola Soft Drink,19,1,94,No,75 ml,4.6,500,8,cool drink,18
Dobra Pop Goli Kokum Jeera Soft Drink,80,4,95,No,75 ml,3.1,749,8,cool drink,76
Fast,60,28,53,No,75 ml,4.8,500,8,cool drink,32
Pepsi Zero Sugar Soft Drink,19,1,94,No,75 ml,4.5,400,8,cool drink,18
Thums Up Soft Drink,70,12,82,No,75 ml,4.7,465,8,cool drink,58
Paper Boat Aamras Drink,40,13,67,No,75 ml,4.6,200,8,cool drink,27
Thums Up Soft Drink,110,21,80,No,100 ml,4.6,110,8,cool drink,89
Fast,295,75,74,No,100 ml,4.5,295,8,cool drink,220
Campa Lemon Soft Drink,19,1,94,No,100 ml,4.7,500,8,cool drink,18
Maaza Mango Fruit Juice,35,5,85,No,100 ml,4.6,600,8,cool drink,30
Pluckk Natural Tender Coconut Water With Real Malai Chunks,99,23,76,No,100 ml,4.6,651,8,cool drink,76
Real Activ Coconut Water,168,81,51,No,100 ml,4.5,168,8,cool drink,87
Sprite Lemon and Lime Soft Drink,45,10,77,No,100 ml,4.7,750,8,cool drink,35
Thums Up Soft Drink Can,40,9,77,No,100 ml,4.7,300,8,cool drink,31
Centrum Recharge Kids Powder Energy Drink Mix,60,8,86,No,100 ml,4.5,60,8,cool drink,52
Centrum Recharge Instant Energy Mix Combo,120,24,80,No,100 ml,4.5,120,8,cool drink,96
Campa Orange Soft Drink,19,1,94,No,100 ml,4.7,500,8,cool drink,18
Sprite Lemon and Lime Soft Drink,70,15,78,No,100 ml,4.6,70,8,cool drink,55
Centrum Recharge Multivitamin Powder Energy Drink Mix,60,12,80,No,100 ml,4.5,60,8,cool drink,48
Centrum Kids Recharge Fizzy Drink Mix Combo,120,16,86,No,100 ml,4.5,120,8,cool drink,104
Bisleri Pop Orange Soft Drink,100,10,77,No,100 ml,4.6,160,8,cool drink,90
Sting Energy Drink,20,3,85,No,100 ml,4.7,250,8,cool drink,17
3 Sisters Kiwi and Mint Non Alcoholic Beer Combo,220,26,88,No,100 ml,4.5,963,8,cool drink,194
3 Sisters Peach Non Alcoholic Beer Combo,220,20,90,No,100 ml,4.7,896,8,cool drink,200
Coca,40,7,82,No,100 ml,4.7,300,8,cool drink,33
Thums Up Soft Drink,160,28,82,No,100 ml,4.7,465,8,cool drink,132
3 Sisters Cranberry Non Alcoholic Beer Combo,220,24,89,No,100 ml,4.4,776,8,cool drink,196
Paper Boat Tender Coconut Water,140,63,55,No,100 ml,4.4,140,8,cool drink,77
Coca,45,10,77,No,750 ml,4.7,750,8,cool drink,35
Coca,40,9,77,No,300 ml,4.6,300,8,cool drink,31
Mirinda Orange Flavoured Soft Drink,100,28,72,No,75 ml,4.6,100,8,cool drink,72
Pepsi Soft Drink,100,30,70,No,75 ml,4.7,164,8,cool drink,70
Frooti Mango Fruit Juice,75,24,68,No,75 ml,4.7,127,8,cool drink,51
Frooti Mango Fruit Juice,35,4,88,No,600 ml,4.7,600,8,cool drink,31
Coca,70,11,84,No,75 ml,4.7,235,8,cool drink,59
Sprite Zero Lemon Diet Soft Drink Can,40,11,72,No,300 ml,4.7,300,8,cool drink,29
Bisleri Limonata Lemon and Mint Soft Drink,40,10,75,No,600 ml,4.7,600,8,cool drink,30
Sprite Lemon Soft Drink,160,28,82,No,250 ml,4.7,250,8,cool drink,132
Coca,45,12,73,No,750 ml,4.7,750,8,cool drink,33
7 Up Lemon Soft Drink,100,40,60,No,750 ml,4.6,100,8,cool drink,60
Predator Energy Drink Can,60,12,80,No,300 ml,4.6,300,8,cool drink,48
Gatorade Orange Zero Sugar Energy Drink,19,1,94,No,250 ml,4.7,250,8,cool drink,18
Coca,110,6,94,No,250 ml,4.6,110,8,cool drink,104
Monster Energy Drink,125,44,64,No,350 ml,4.7,350,8,cool drink,81
Gatorade Lemon Zero Sugar Energy Drink,19,1,94,No,250 ml,4.7,250,8,cool drink,18
Pepsi Soft Drink,40,4,90,No,300 ml,4.6,300,8,cool drink,36
Mirinda Orange Soft Drink,40,9,77,No,300 ml,4.6,300,8,cool drink,31
7 Up Soft Drink Can,40,2,95,No,300 ml,4.5,300,8,cool drink,38
Pepsi Black Cola Diet Soft Drink,40,9,77,No,300 ml,4.5,300,8,cool drink,31
Frooti Mango Drink,122,42,65,No,300 ml,4.6,122,8,cool drink,80
Red Bull Energy Drink,125,15,88,No,250 ml,4.7,250,8,cool drink,110
Coca,160,29,81,No,250 ml,4.7,250,8,cool drink,131
Monster Energy Ultra Zero Sugar,125,41,67,No,350 ml,4.7,350,8,cool drink,84
Coca,160,8,95,No,250 ml,4.7,250,8,cool drink,152
Red Bull Energy Drink,165,30,81,No,350 ml,4.6,350,8,cool drink,135
Pepsi Cola Soft Drink,240,79,67,No,300 ml,4.7,300,8,cool drink,161
Gatorade Blue Bolt Zero Sugar Energy Drink,50,3,94,No,500 ml,4.7,500,8,cool drink,47
Gatorade Lemon Zero Sugar Energy Drink,50,3,94,No,500 ml,4.6,500,8,cool drink,47
Fast,60,12,80,No,500 ml,4.7,500,8,cool drink,48
Gatorade Orange Zero Sugar Energy Drink,50,3,94,No,500 ml,4.7,500,8,cool drink,47
Red Bull Watermelon Energy Drink,125,27,78,No,250 ml,4.6,250,8,cool drink,98
Red Bull Energy Drink,480,104,78,No,250 ml,4.5,480,8,cool drink,376
O'cean Energy Drink Can,70,4,94,No,250 ml,4.6,250,8,cool drink,66
Jimmy's Cocktails Imported Hustle Energy Drink,60,7,88,No,250 ml,4.1,250,8,cool drink,53
Coca,240,15,93,No,330 ml,3.2,88,8,cool drink,225
Coca,199,40,79,No,320 ml,4.5,157,8,cool drink,159
Pepsi Zero Lemon,220,11,95,No,320 ml,4.4,823,8,cool drink,209
Fanta Orange Zero,240,30,87,No,330 g,4.4,297,8,cool drink,210
Prime Hydration Imported Lemon and Lime Soft Drink,599,246,58,No,500 ml,4.1,153,8,cool drink,353
Red Bull Energy Drink,700,152,78,No,250 ml,4.5,700,8,cool drink,548
Prime Hydration Tropical Energy Drink,599,65,89,No,500 ml,3.1,109,8,cool drink,534
Monster Pacific Punch Energy Drink Can,370,29,92,No,500 ml,4.4,64,8,cool drink,341
Fast,295,86,70,No,500 ml,4.9,301,22,cool drink,209
Fast,1180,440,62,No,500 ml,4.2,343,22,cool drink,740
Prime Hydration Ice Red Chill Flavored Drink,399,20,94,No,500 ml,4.4,685,8,cool drink,379
Liquid I.V. Hydration Multiplier,360,78,78,No,500 ml,4.5,64,22,cool drink,282
Liquid I.V. Hydration Multiplier,360,77,78,No,500 ml,4.8,83,22,cool drink,283
Liquid I.V. Hydration Multiplier,360,77,78,No,500 ml,4.5,59,22,cool drink,283
Prime Hydration Ice Blue Chill Flavour,399,20,94,No,500 ml,4.4,918,8,cool drink,379
Prime Hydration Ice Orange Flavoured Drink,399,43,89,No,500 ml,4.5,544,8,cool drink,356
Pepsi Soft Drink Combo,80,26,67,No,200 ml,4.4,192,8,cool drink,54
Thums Up Soft Drink Combo,90,18,80,No,201 ml,4.2,670,8,cool drink,72
Bisleri Spyci Jeera Soft Drink,150,10,77,No,160 ml,4.5,160,8,cool drink,140
Bisleri Pop Orange Soft Drink Combo,220,20,77,No,160 ml,4.7,890,8,cool drink,200
Thums Up Soft Drink Combo,180,36,80,No,160 ml,4.2,859,8,cool drink,144
Thums Up Soft Drink Combo,80,18,77,No,160 ml,4.2,632,8,cool drink,62
Thums Up Soft Drink Combo,140,24,82,No,160 ml,4.5,757,8,cool drink,116
7 Up Lemon Soft Drink Combo,80,18,77,No,160 ml,4.4,496,8,cool drink,62
Sprite Lemon and Lime Soft Drink Combo,140,30,78,No,160 ml,4.7,135,8,cool drink,110
Thums Up Soft Drink Combo,210,36,82,No,160 ml,4.5,687,8,cool drink,174
Mirinda Orange Flavoured Soft Drink Combo,80,18,77,No,160 ml,4.6,520,8,cool drink,62
7UP Nimbooz Soft Drink Combo,46,8,82,No,160 ml,4.2,948,8,cool drink,38
Mountain Dew Citrus Soft Drink,40,3,92,No,750 ml,4.7,750,8,cool drink,37
Paper Boat Lychee Fruit Juice,40,7,82,No,250 ml,4.7,250,8,cool drink,33
Sprite Lemon and Lime Soft Drink Combo,90,20,77,No,50 ml,4.6,899,8,cool drink,70
Sprite Zero Lemon Diet Soft Drink Can Combo,80,22,72,No,100 g,4.6,543,8,cool drink,58
Appy Fizz Apple Soft Drink,40,9,77,No,100 g,4.7,600,8,cool drink,31
Diet Coke Cola Diet Soft Drink Can Combo,120,21,82,No,100 g,4.3,207,8,cool drink,99
Mirinda Orange Soft Drink Combo,80,18,77,No,100 g,4.2,638,8,cool drink,62
Coca Cola Soft Drink Can Combo,80,16,80,No,100 g,4.3,541,8,cool drink,64
Mountain Dew Citrus Soft Drink,90,17,81,No,100 g,4.7,90,8,cool drink,73
Thums Up Soft Drink Can Combo,240,54,77,No,100 g,4.2,892,8,cool drink,186
Thums Up Soft Drink Combo,120,27,77,No,100 g,4.2,373,8,cool drink,93
Coca,80,18,77,No,100 g,4.5,205,8,cool drink,62
Coca Cola Soft Drink Combo,90,20,77,No,100 g,4.7,169,8,cool drink,70
