product_name,original_price,discounted_price,discount_percent,premium,quantity,rating,review_count,delivery_time,category,selling_price
Modern Cremtreat Chocolate Cream Bun,110,10,77,No,150 g,4.5,50,9,Bread,100
Modern Bread Milk Plus Combo,110,6,94,No,100 g,4.4,547,9,Bread,104
Modern Cremtreat Chocolate Cream Bun Combo,30,3,90,No,100 g,4.7,951,9,Bread,27
Modern Cremtreat Chocolate Cream Bun Combo,110,6,94,No,100 g,4.4,659,9,Bread,104
Nanda's Vanilla Cream Bun Combo,45,3,93,No,100 g,4.5,432,9,Bread,42
Spencer's Premium Milk Bread Combo,110,6,94,No,100 g,4.6,341,9,Bread,104
Nanda's Vanilla Cream Bun,45,1,92,No,60 g,4.7,60,9,Bread,44
Modern Family Special White Bread Combo,100,6,94,No,100 g,4.6,736,9,Bread,94
Modern Sandwich Supreme White Bread Combo,165,30,81,No,100 g,4.5,196,9,Bread,135
Britannia Breakfast Slice White Bread Combo,110,12,89,No,100 g,4.6,889,9,Bread,98
Britannia Pav Combo,60,10,83,No,50 g,4.5,251,9,Bread,50
Britannia Pav Combo,110,10,90,No,100 g,4.3,680,9,Bread,100
Britannia Fruit Bread Combo,60,4,93,No,100 g,4.6,461,9,Bread,56
Britannia Fruit Bread Combo,195,36,81,No,100 g,4.7,422,9,Bread,159
Modern Sandwich Supreme White Bread Combo,180,12,93,No,100 g,4.7,951,9,Bread,168
Modern Cremtreat Vanilla Cream Bun Combo,120,20,77,No,100 g,4.7,155,9,Bread,100
Spencer's Brown Bread Combo,110,6,94,No,120 g,4.7,816,9,Bread,104
Modern Cremtreat Chocolate Cream Bun Combo,120,20,77,No,120 g,4.3,537,9,Bread,100
Modern Multigrain Bread,120,18,85,No,120 g,4.5,869,9,Bread,102
Nanda's Vanilla Cream Bun Combo,30,2,93,No,120 g,4.7,899,9,Bread,28
Protein Chef Double Protein Bread,99,5,94,Yes,270 g,4.4,270,9,Bread,94
Modern Family Special White Bread Combo,150,15,90,No,120 g,4.7,690,9,Bread,135
Britannia Pav Combo,90,15,83,No,120 g,4.3,344,9,Bread,75
Britannia Breakfast Slice White Bread Combo,165,18,89,No,120 g,4.3,630,9,Bread,147
Protein Chef 5 Super Foods Multigrain Brown Bread,138,6,95,No,120 g,4.2,525,9,Bread,132
Every Day Burger Buns,40,2,95,No,50 g,4.5,200,9,Bread,38
Britannia Fruit Bread Combo,90,9,90,No,75 g,4.4,733,9,Bread,81
Britannia Milk Slice White Bread Combo,60,8,86,No,60 g,4.4,854,9,Bread,52
Nanda's Vanilla Cream Bun Combo,60,12,80,No,60 g,4.2,286,9,Bread,48
Modern Sandwich Supreme White Bread Combo,270,33,87,No,120 g,4.2,80,9,Bread,237
Modern Supreme Burger Bun,45,2,95,No,80 g,4.2,280,9,Bread,43
The Health Factory Zero Maida Burger Bun,37,4,89,Yes,40 g,4.3,120,9,Bread,33
Modern Medium Crust Pizza Base,35,3,91,No,50 g,4.2,150,9,Bread,32
Modern Medium Crust Pizza Base,118,6,94,No,50 g,4.3,706,9,Bread,112
Modern Medium Crust Pizza Base Combo,70,6,91,No,50 g,4.6,160,9,Bread,64
Modern Medium Crust Pizza Base Combo,94,19,79,No,400 g,4.6,459,9,Bread,75
The Health Factory Zero Maida Pizza Base,38,3,92,Yes,140 g,4.4,140,9,Bread,35
Modern Medium Crust Pizza Base Combo,210,71,66,No,400 g,4.2,196,9,Bread,139
Modern Medium Crust Pizza Base Combo,49,4,91,Yes,240 g,4.4,240,9,Bread,45
Britannia Pav Combo,120,20,83,No,80 g,4.7,153,9,Bread,100
Britannia Pav Combo,98,8,91,No,80 g,4.3,753,9,Bread,90
The Health Factory Zero Maida Bread,425,135,68,No,80 g,4.6,203,9,Bread,290
Modern Medium Crust Pizza Base Combo,105,9,91,No,80 g,4.4,264,9,Bread,96
The Health Factory Zero Maida Bombay Pav,80,8,90,No,80 g,4.3,122,9,Bread,72
The Health Factory Zero Maida Burger Bun,68,5,92,No,225 g,4.3,228,9,Bread,63
The Health Factory Zero Maida Pizza Base,76,6,92,No,50 g,4.5,582,9,Bread,70
Britannia Pav Combo,350,76,78,No,150 g,4.6,743,9,Bread,274
The Health Factory Zero Maida Pizza Base,114,12,89,No,50 g,4.3,964,9,Bread,102
The Health Factory Zero Maida Burger Bun,74,14,81,No,50 g,4.2,633,9,Bread,60
The Health Factory Zero Maida Bombay Pav,120,15,87,No,50 g,4.7,98,9,Bread,105
The Health Factory Zero Maida Bombay Pav,95,7,92,No,150 g,4.6,875,9,Bread,88
The Health Factory Zero Maida Bombay Pav,143,22,84,No,50 g,4.6,737,9,Bread,121
The Health Factory Zero Maida Burger Bun,111,12,89,No,50 g,4.4,104,9,Bread,99
The Health Factory Zero Maida Multigrain Bread,429,62,85,No,450 g,4.4,203,9,Bread,367
The Health Factory Zero Maida Bombay Pav,414,54,86,No,400 g,4.6,516,9,Bread,360
D'lecta Cheese Slices,350,124,64,No,400 g,4.7,400,9,cheese,226
D'lecta Cheese Slices,109,22,79,Yes,140 g,4.7,140,9,cheese,87
Amul Diced Cheese Blend,129,15,88,No,200 g,4.7,200,9,cheese,114
